"region","age","2016"
"0780 Växjö","18-29 years",294.6
"0780 Växjö","30-49 years",520.9
"0780 Växjö","50-64 years",566.5
"0781 Ljungby","18-29 years",321.7
"0781 Ljungby","30-49 years",484.9
"0781 Ljungby","50-64 years",500.8
"0821 Högsby","18-29 years",331.2
"0821 Högsby","30-49 years",441.6
"0821 Högsby","50-64 years",462.4
"0834 Torsås","18-29 years",312.8
"0834 Torsås","30-49 years",439.9
"0834 Torsås","50-64 years",471.4
"0840 Mörbylånga","18-29 years",371.3
"0840 Mörbylånga","30-49 years",533.8
"0840 Mörbylånga","50-64 years",582.8
"0860 Hultsfred","18-29 years",332.6
"0860 Hultsfred","30-49 years",456.7
"0860 Hultsfred","50-64 years",446.5
"0861 Mönsterås","18-29 years",341.5
"0861 Mönsterås","30-49 years",469.9
"0861 Mönsterås","50-64 years",513.6
"0862 Emmaboda","18-29 years",311.7
"0862 Emmaboda","30-49 years",446.1
"0862 Emmaboda","50-64 years",459.6
"0880 Kalmar","18-29 years",294.5
"0880 Kalmar","30-49 years",502.9
"0880 Kalmar","50-64 years",532.7
"0881 Nybro","18-29 years",296.5
"0881 Nybro","30-49 years",429.9
"0881 Nybro","50-64 years",457.1
"0882 Oskarshamn","18-29 years",350.3
"0882 Oskarshamn","30-49 years",527.4
"0882 Oskarshamn","50-64 years",530.1
"0883 Västervik","18-29 years",300.7
"0883 Västervik","30-49 years",463.2
"0883 Västervik","50-64 years",465.5
"0884 Vimmerby","18-29 years",327.2
"0884 Vimmerby","30-49 years",468.9
"0884 Vimmerby","50-64 years",493.2
"0885 Borgholm","18-29 years",325.6
"0885 Borgholm","30-49 years",489.2
"0885 Borgholm","50-64 years",493.6
"0980 Gotland","18-29 years",300.4
"0980 Gotland","30-49 years",487.6
"0980 Gotland","50-64 years",489.6
"1060 Olofström","18-29 years",335.2
"1060 Olofström","30-49 years",446.3
"1060 Olofström","50-64 years",454.6
"1080 Karlskrona","18-29 years",278.8
"1080 Karlskrona","30-49 years",496.5
"1080 Karlskrona","50-64 years",509.1
"1081 Ronneby","18-29 years",285.1
"1081 Ronneby","30-49 years",470.4
"1081 Ronneby","50-64 years",466.4
"1082 Karlshamn","18-29 years",291.8
"1082 Karlshamn","30-49 years",462.8
"1082 Karlshamn","50-64 years",485.0
"1083 Sölvesborg","18-29 years",336.7
"1083 Sölvesborg","30-49 years",470.0
"1083 Sölvesborg","50-64 years",520.9
